,basicblock,benchmark,count,function,max,mean,median,min,run,seed,stddev
0,for.inc,uudecode,100.0,decode,7401017.0,5285520.0,5270556.0,5219514.0,2,5,114839.0
1,for.inc,uudecode,100.0,decode,8094510.0,5359980.0,5343996.0,5296913.0,1,8,144293.0
2,for.inc,uudecode,100.0,decode,5718523.0,5275600.0,5266441.0,5223629.0,2,4,49281.3
3,for.inc,uudecode,100.0,decode,6535766.0,5152120.0,5145093.0,5094155.0,1,2,81117.4
4,for.inc,uudecode,100.0,decode,5725762.0,5341790.0,5339200.0,5280294.0,2,7,43101.3
5,for.inc,uudecode,100.0,decode,7124099.0,5155870.0,5140197.0,5094364.0,1,1,105902.0
6,for.inc,uudecode,100.0,decode,8039299.0,5156950.0,5137849.0,5097902.0,2,0,153594.0
7,for.inc,uudecode,100.0,decode,6625399.0,5344280.0,5337225.0,5281028.0,1,7,75450.1
8,for.inc,uudecode,100.0,decode,7618411.0,5363240.0,5346440.0,5297221.0,2,8,119795.0
9,for.inc,uudecode,100.0,decode,5539934.0,5150560.0,5145820.0,5095768.0,1,6,47073.3
10,for.inc,uudecode,100.0,decode,7988830.0,5152070.0,5136859.0,5091600.0,2,1,146465.0
11,for.inc,uudecode,100.0,decode,6643317.0,5278300.0,5270143.0,5220872.0,1,5,77588.2
12,for.inc,uudecode,100.0,decode,5558573.0,5144460.0,5141752.0,5095971.0,2,10,41619.7
13,for.inc,uudecode,100.0,decode,5519776.0,5141060.0,5138579.0,5091339.0,1,10,42634.3
14,for.inc,uudecode,100.0,decode,7439352.0,5157250.0,5138318.0,5097537.0,2,2,121285.0
15,for.inc,uudecode,100.0,decode,7960441.0,5283380.0,5270190.0,5219149.0,2,9,138391.0
16,for.inc,uudecode,100.0,decode,6673161.0,5280530.0,5268476.0,5219571.0,1,4,80594.8
17,for.inc,uudecode,100.0,decode,5553581.0,5146340.0,5143425.0,5093790.0,1,3,45742.5
18,for.inc,uudecode,100.0,decode,7135550.0,5154510.0,5141598.0,5096806.0,2,3,106273.0
19,for.inc,uudecode,100.0,decode,7204924.0,5155760.0,5141180.0,5098577.0,2,6,110015.0
20,for.inc,uudecode,100.0,decode,8609091.0,5288260.0,5267850.0,5216496.0,1,9,188506.0
21,for.inc,uudecode,100.0,decode,8272326.0,5178500.0,5148791.0,5096812.0,1,0,293351.0
22,for.inc,uuencode,151000.0,encode_line,81979.0,587.309,573.0,416.0,2,5,430.134
23,for.inc,uuencode,151000.0,encode_line,44687.0,592.973,573.0,416.0,1,8,341.311
24,for.inc,uuencode,151000.0,encode_line,150417.0,587.66,573.0,416.0,2,4,984.559
25,for.inc,uuencode,151000.0,encode_line,163072.0,586.376,573.0,416.0,1,2,524.865
26,for.inc,uuencode,151000.0,encode_line,41667.0,574.522,573.0,416.0,2,7,357.049
27,for.inc,uuencode,151000.0,encode_line,139531.0,595.315,573.0,416.0,1,1,507.227
28,for.inc,uuencode,151000.0,encode_line,59271.0,578.2,573.0,416.0,2,0,319.656
29,for.inc,uuencode,151000.0,encode_line,136407.0,574.28,573.0,416.0,1,7,428.745
30,for.inc,uuencode,151000.0,encode_line,118594.0,578.26,573.0,416.0,2,8,443.084
31,for.inc,uuencode,151000.0,encode_line,67917.0,593.188,573.0,416.0,1,6,368.226
32,for.inc,uuencode,151000.0,encode_line,56458.0,579.432,573.0,416.0,2,1,328.663
33,for.inc,uuencode,151000.0,encode_line,103177.0,567.373,573.0,416.0,1,5,412.555
34,for.inc,uuencode,151000.0,encode_line,70261.0,585.412,573.0,416.0,2,10,357.633
35,for.inc,uuencode,151000.0,encode_line,56406.0,578.754,573.0,416.0,1,10,371.92
36,for.inc,uuencode,151000.0,encode_line,122032.0,568.93,573.0,416.0,2,2,420.539
37,for.inc,uuencode,151000.0,encode_line,346250.0,590.408,573.0,416.0,2,9,935.481
38,for.inc,uuencode,151000.0,encode_line,166770.0,580.471,573.0,416.0,1,4,544.023
39,for.inc,uuencode,151000.0,encode_line,334427.0,595.098,573.0,416.0,1,3,958.135
40,for.inc,uuencode,151000.0,encode_line,40886.0,577.999,573.0,416.0,2,3,321.681
41,for.inc,uuencode,151000.0,encode_line,88698.0,577.709,573.0,416.0,2,6,373.359
42,for.inc,uuencode,151000.0,encode_line,155052.0,591.318,573.0,416.0,1,9,567.775
43,for.inc,uuencode,151000.0,encode_line,118437.0,587.896,573.0,416.0,1,0,496.293
44,if.then29,vor,2664220.0,rotate,196615.0,135.683,105.0,104.0,2,5,382.475
45,if.then29,vor,2664220.0,rotate,118228.0,136.138,156.0,104.0,1,8,382.86
46,if.then29,vor,2664220.0,rotate,119323.0,135.689,105.0,104.0,2,4,386.776
47,if.then29,vor,2664220.0,rotate,236977.0,136.4,156.0,104.0,1,2,421.932
48,if.then29,vor,2664220.0,rotate,114062.0,134.848,105.0,104.0,2,7,360.696
49,if.then29,vor,2664220.0,rotate,126457.0,135.578,105.0,104.0,1,1,364.269
50,if.then29,vor,2664220.0,rotate,167342.0,134.706,105.0,104.0,2,0,357.885
51,if.then29,vor,2664220.0,rotate,131093.0,134.957,105.0,104.0,1,7,388.585
52,if.then29,vor,2664220.0,rotate,121875.0,136.113,156.0,104.0,2,8,376.369
53,if.then29,vor,2664220.0,rotate,128488.0,134.259,105.0,104.0,1,6,351.82
54,if.then29,vor,2664220.0,rotate,114687.0,136.005,156.0,104.0,2,1,394.258
55,if.then29,vor,2664220.0,rotate,138957.0,135.576,105.0,104.0,1,5,378.531
56,if.then29,vor,2664220.0,rotate,149427.0,135.351,105.0,104.0,2,10,439.993
57,if.then29,vor,2664220.0,rotate,123332.0,135.202,105.0,104.0,1,10,389.669
58,if.then29,vor,2664220.0,rotate,112292.0,135.429,105.0,104.0,2,2,376.217
59,if.then29,vor,2664220.0,rotate,119167.0,134.646,105.0,104.0,2,9,373.17
