,basicblock,benchmark,count,function,max,mean,median,min,run,seed,stddev
0,entry,8b10b,400000000.0,calc,2000.0,899.649,1000.0,0.0,1,0,300.469
1,entry,8b10b,400000000.0,calc,2000.0,891.908,1000.0,0.0,1,1,310.497
2,entry,8b10b,400000000.0,calc,2000.0,899.396,1000.0,0.0,1,2,300.805
3,entry,8b10b,400000000.0,calc,2000.0,884.571,1000.0,0.0,1,3,319.54
4,entry,8b10b,400000000.0,calc,2000.0,906.16,1000.0,0.0,1,4,291.608
5,entry,8b10b,400000000.0,calc,2000.0,893.271,1000.0,0.0,1,5,308.77
6,entry,8b10b,400000000.0,calc,2000.0,896.47,1000.0,0.0,1,6,304.651
7,entry,8b10b,400000000.0,calc,2000.0,898.767,1000.0,0.0,1,7,301.639
8,entry,8b10b,400000000.0,calc,2000.0,884.741,1000.0,0.0,1,8,319.335
9,entry,8b10b,400000000.0,calc,2000.0,899.468,1000.0,0.0,1,9,300.709
10,entry,8b10b,400000000.0,calc,2000.0,894.264,1000.0,0.0,1,10,307.501
11,entry,8b10b,400000000.0,calc,2000.0,900.31,1000.0,0.0,2,0,299.587
12,entry,8b10b,400000000.0,calc,2000.0,892.033,1000.0,0.0,2,1,310.34
13,entry,8b10b,400000000.0,calc,2000.0,899.743,1000.0,0.0,2,2,300.344
14,entry,8b10b,400000000.0,calc,2000.0,885.379,1000.0,0.0,2,3,318.566
15,entry,8b10b,400000000.0,calc,2000.0,907.327,1000.0,0.0,2,4,289.976
16,entry,8b10b,400000000.0,calc,2000.0,892.43,1000.0,0.0,2,5,309.838
17,entry,8b10b,400000000.0,calc,2000.0,896.462,1000.0,0.0,2,6,304.661
18,entry,8b10b,400000000.0,calc,2000.0,898.196,1000.0,0.0,2,7,302.391
19,entry,8b10b,400000000.0,calc,2000.0,885.081,1000.0,0.0,2,8,318.925
20,entry,8b10b,400000000.0,calc,2000.0,899.615,1000.0,0.0,2,9,300.514
21,entry,8b10b,400000000.0,calc,2000.0,894.123,1000.0,0.0,2,10,307.681
22,for.body6,adi,2.0,kernel_adi,5907808000.0,5833490000.0,5759168000.0,5759168000.0,1,1,74320000.0
23,for.body6,adi,2.0,kernel_adi,5935969000.0,5852970000.0,5769967000.0,5769967000.0,1,0,83001000.0
24,for.body6,adi,2.0,kernel_adi,5942619000.0,5860150000.0,5777690000.0,5777690000.0,1,2,82464500.0
25,for.body6,adi,2.0,kernel_adi,5942611000.0,5860220000.0,5777837000.0,5777837000.0,1,3,82387000.0
26,for.body6,adi,2.0,kernel_adi,5934773000.0,5856120000.0,5777465000.0,5777465000.0,1,4,78654000.0
27,for.body6,adi,2.0,kernel_adi,5937798000.0,5856780000.0,5775754000.0,5775754000.0,1,5,81022000.0
28,for.body6,adi,2.0,kernel_adi,5935942000.0,5852980000.0,5770027000.0,5770027000.0,1,6,82957500.0
29,for.body6,adi,2.0,kernel_adi,5926591000.0,5848490000.0,5770387000.0,5770387000.0,1,7,78102000.0
30,for.body6,adi,2.0,kernel_adi,5932430000.0,5854150000.0,5775874000.0,5775874000.0,1,8,78278000.0
31,for.body6,adi,2.0,kernel_adi,5945153000.0,5861370000.0,5777578000.0,5777578000.0,1,9,83787500.0
