,basicblock,benchmark,count,function,max,mean,median,min,run,seed,stddev
0,if.then,yacr2,38866900.0,SegmentFree,262908.0,168.055,156.0,52.0,1,7,194.9
1,if.then,yacr2,38866900.0,SegmentFree,213381.0,169.532,156.0,52.0,1,6,212.196
2,if.then,yacr2,38866900.0,SegmentFree,252233.0,168.269,156.0,52.0,2,7,224.333
3,if.then,yacr2,38866900.0,SegmentFree,268009.0,169.904,156.0,52.0,1,4,189.85
4,if.then,yacr2,38866900.0,SegmentFree,226352.0,168.05,156.0,52.0,2,9,193.275
5,if.then,yacr2,38866900.0,SegmentFree,22185205.0,174.478,156.0,52.0,1,9,5787.87
6,if.then,yacr2,38866900.0,SegmentFree,226925.0,170.53,156.0,52.0,2,2,198.679
7,if.then,yacr2,38866900.0,SegmentFree,111930.0,169.956,156.0,52.0,1,3,192.597
8,if.then,yacr2,38866900.0,SegmentFree,225769.0,170.123,156.0,52.0,1,1,206.801
9,if.then,yacr2,38866900.0,SegmentFree,141560.0,169.486,156.0,52.0,2,6,199.511
10,if.then,yacr2,38866900.0,SegmentFree,222768.0,168.031,156.0,52.0,1,5,192.917
11,if.then,yacr2,38866900.0,SegmentFree,132765.0,170.27,156.0,52.0,2,5,195.081
12,if.then,yacr2,38866900.0,SegmentFree,223234.0,170.566,156.0,52.0,1,0,201.452
13,if.then,yacr2,38866900.0,SegmentFree,150827.0,170.113,156.0,52.0,2,4,201.648
14,if.then,yacr2,38866900.0,SegmentFree,273591.0,170.212,156.0,52.0,1,2,189.158
15,if.then,yacr2,38866900.0,SegmentFree,144848.0,169.812,156.0,52.0,1,8,199.656
16,if.then,yacr2,38866900.0,SegmentFree,168025.0,170.107,156.0,52.0,2,3,207.774
17,if.then,yacr2,38866900.0,SegmentFree,227663.0,168.09,156.0,52.0,2,0,192.737
18,if.then,yacr2,38866900.0,SegmentFree,164155.0,169.464,156.0,52.0,1,10,198.764
19,if.then,yacr2,38866900.0,SegmentFree,266809.0,169.972,156.0,52.0,2,1,205.851
20,if.then,yacr2,38866900.0,SegmentFree,228444.0,169.527,156.0,52.0,2,8,203.702
21,if.then,yacr2,38866900.0,SegmentFree,196237.0,169.476,156.0,52.0,2,10,200.799
22,for.body,GlobalDataFlow-dbl,17250.0,s151s,538767.0,221950.0,216600.0,206809.0,1,7,21446.9
23,for.body,GlobalDataFlow-dbl,17250.0,s151s,531081.0,218006.0,213329.0,205047.0,1,6,18795.9
24,for.body,GlobalDataFlow-dbl,17250.0,s151s,564194.0,212360.0,206918.0,199001.0,2,7,20887.8
25,for.body,GlobalDataFlow-dbl,17250.0,s151s,518882.0,212278.0,207407.0,200532.0,1,4,19397.7
26,for.body,GlobalDataFlow-dbl,17250.0,s151s,509744.0,215996.0,210731.0,202971.0,2,9,20430.9
27,for.body,GlobalDataFlow-dbl,17250.0,s151s,487605.0,209988.0,204740.0,198438.0,1,9,19652.3
28,for.body,GlobalDataFlow-dbl,17250.0,s151s,508083.0,214681.0,209848.0,201827.0,2,2,19008.7
29,for.body,GlobalDataFlow-dbl,17250.0,s151s,544838.0,216959.0,211986.0,203914.0,1,3,19275.4
30,for.body,GlobalDataFlow-dbl,17250.0,s151s,560495.0,214415.0,209281.0,201364.0,1,1,19917.3
31,for.body,GlobalDataFlow-dbl,17250.0,s151s,529109.0,247693.0,242758.0,229998.0,2,6,19235.5
32,for.body,GlobalDataFlow-dbl,17250.0,s151s,549571.0,209885.0,204266.0,198017.0,1,5,21186.5
33,for.body,GlobalDataFlow-dbl,17250.0,s151s,484692.0,221152.0,216043.0,207606.0,2,5,19030.6
34,for.body,GlobalDataFlow-dbl,17250.0,s151s,611201.0,214756.0,209668.0,202271.0,1,0,19744.3
35,for.body,GlobalDataFlow-dbl,17250.0,s151s,518491.0,221873.0,216906.0,206542.0,2,4,19631.8
36,for.body,GlobalDataFlow-dbl,17250.0,s151s,520842.0,233304.0,228285.0,217920.0,1,2,19641.2
37,for.body,GlobalDataFlow-dbl,17250.0,s151s,584276.0,215846.0,211114.0,203197.0,1,8,19901.3
38,for.body,GlobalDataFlow-dbl,17250.0,s151s,671612.0,215282.0,209771.0,201800.0,2,3,21471.2
39,for.body,GlobalDataFlow-dbl,17250.0,s151s,600826.0,225984.0,218956.0,208383.0,2,0,26596.7
40,for.body,GlobalDataFlow-dbl,17250.0,s151s,524129.0,218353.0,213339.0,204694.0,1,10,20150.6
41,for.body,GlobalDataFlow-dbl,17250.0,s151s,473409.0,214365.0,209125.0,201312.0,2,1,20383.0
42,for.body,GlobalDataFlow-dbl,17250.0,s151s,528760.0,215959.0,211180.0,202953.0,2,8,19294.8
43,for.body,GlobalDataFlow-dbl,17250.0,s151s,499499.0,226169.0,220790.0,212040.0,2,10,20396.6
44,vector.body,CrossingThresholds-flt,1.0,s1281,9521795013.0,4760900000.0,8003586.0,9521795013.0,1,7,4760900000.0
45,vector.body,CrossingThresholds-flt,1.0,s1281,9265159855.0,4632580000.0,8003586.0,9265159855.0,1,6,4632580000.0
46,vector.body,CrossingThresholds-flt,1.0,s1281,9207056138.0,4603530000.0,8003586.0,9207056138.0,2,7,4603530000.0
47,vector.body,CrossingThresholds-flt,1.0,s1281,9445500403.0,4722750000.0,8003586.0,9445500403.0,1,4,4722750000.0
48,vector.body,CrossingThresholds-flt,1.0,s1281,8993080321.0,4496540000.0,8003586.0,8993080321.0,2,9,4496540000.0
49,vector.body,CrossingThresholds-flt,1.0,s1281,8928584918.0,4464290000.0,8003586.0,8928584918.0,1,9,4464290000.0
50,vector.body,CrossingThresholds-flt,1.0,s1281,9327596580.0,4663800000.0,8003586.0,9327596580.0,2,2,4663800000.0
51,vector.body,CrossingThresholds-flt,1.0,s1281,9011779057.0,4505890000.0,8003586.0,9011779057.0,1,3,4505890000.0
52,vector.body,CrossingThresholds-flt,1.0,s1281,9414392345.0,4707200000.0,8003586.0,9414392345.0,1,1,4707200000.0
53,vector.body,CrossingThresholds-flt,1.0,s1281,9381542480.0,4690770000.0,8003586.0,9381542480.0,2,6,4690770000.0
54,vector.body,CrossingThresholds-flt,1.0,s1281,9697685837.0,4848840000.0,8003586.0,9697685837.0,1,5,4848840000.0
55,vector.body,CrossingThresholds-flt,1.0,s1281,9438895404.0,4719450000.0,8003586.0,9438895404.0,2,5,4719450000.0
56,vector.body,CrossingThresholds-flt,1.0,s1281,9479442008.0,4739720000.0,8003586.0,9479442008.0,1,0,4739720000.0
57,vector.body,CrossingThresholds-flt,1.0,s1281,9794463343.0,4897230000.0,8003586.0,9794463343.0,2,4,4897230000.0
58,vector.body,CrossingThresholds-flt,1.0,s1281,10072951364.0,5036480000.0,8003586.0,10072951364.0,1,2,5036480000.0
59,vector.body,CrossingThresholds-flt,1.0,s1281,9272739763.0,4636370000.0,8003586.0,9272739763.0,1,8,4636370000.0
60,vector.body,CrossingThresholds-flt,1.0,s1281,9219763191.0,4609880000.0,8003586.0,9219763191.0,2,3,4609880000.0
61,vector.body,CrossingThresholds-flt,1.0,s1281,10200530297.0,5100270000.0,8003586.0,10200530297.0,2,0,5100270000.0
62,vector.body,CrossingThresholds-flt,1.0,s1281,9891469143.0,4945730000.0,8003586.0,9891469143.0,1,10,4945730000.0
63,vector.body,CrossingThresholds-flt,1.0,s1281,9603114549.0,4801560000.0,8003586.0,9603114549.0,2,1,4801560000.0
64,vector.body,CrossingThresholds-flt,1.0,s1281,9980473566.0,4990240000.0,8003586.0,9980473566.0,2,8,4990240000.0
65,vector.body,CrossingThresholds-flt,1.0,s1281,9977735048.0,4988870000.0,8003586.0,9977735048.0,2,10,4988870000.0
66,if.then.1,Packing-flt,1.0,s343,5054288122.0,2527140000.0,8003586.0,5054288122.0,1,7,2527140000.0
67,if.then.1,Packing-flt,1.0,s343,5236955349.0,2618480000.0,8003586.0,5236955349.0,1,6,2618480000.0
68,if.then.1,Packing-flt,1.0,s343,5097998593.0,2549000000.0,8003586.0,5097998593.0,2,7,2549000000.0
69,if.then.1,Packing-flt,1.0,s343,5150606087.0,2575300000.0,8003586.0,5150606087.0,1,4,2575300000.0
70,if.then.1,Packing-flt,1.0,s343,5040380573.0,2520190000.0,8003586.0,5040380573.0,2,9,2520190000.0
71,if.then.1,Packing-flt,1.0,s343,5018162852.0,2509080000.0,8003586.0,5018162852.0,1,9,2509080000.0
72,if.then.1,Packing-flt,1.0,s343,4998333617.0,2499170000.0,8003586.0,4998333617.0,2,2,2499170000.0
73,if.then.1,Packing-flt,1.0,s343,4993524761.0,2496760000.0,8003586.0,4993524761.0,1,3,2496760000.0
74,if.then.1,Packing-flt,1.0,s343,4987159422.0,2493580000.0,8003586.0,4987159422.0,1,1,2493580000.0
75,if.then.1,Packing-flt,1.0,s343,4852987532.0,2426490000.0,8003586.0,4852987532.0,2,6,2426490000.0
76,if.then.1,Packing-flt,1.0,s343,5142198724.0,2571100000.0,8003586.0,5142198724.0,1,5,2571100000.0
77,if.then.1,Packing-flt,1.0,s343,5039845168.0,2519920000.0,8003586.0,5039845168.0,2,5,2519920000.0
78,if.then.1,Packing-flt,1.0,s343,5065499245.0,2532750000.0,8003586.0,5065499245.0,1,0,2532750000.0
79,if.then.1,Packing-flt,1.0,s343,5080005733.0,2540000000.0,8003586.0,5080005733.0,2,4,2540000000.0
80,if.then.1,Packing-flt,1.0,s343,4823586725.0,2411790000.0,8003586.0,4823586725.0,1,2,2411790000.0
81,if.then.1,Packing-flt,1.0,s343,4854959779.0,2427480000.0,8003586.0,4854959779.0,1,8,2427480000.0
82,if.then.1,Packing-flt,1.0,s343,5072714107.0,2536360000.0,8003586.0,5072714107.0,2,3,2536360000.0
83,if.then.1,Packing-flt,1.0,s343,4843262664.0,2421630000.0,8003586.0,4843262664.0,2,0,2421630000.0
84,if.then.1,Packing-flt,1.0,s343,5235778382.0,2617890000.0,8003586.0,5235778382.0,1,10,2617890000.0
85,if.then.1,Packing-flt,1.0,s343,5156865534.0,2578430000.0,8003586.0,5156865534.0,2,1,2578430000.0
86,if.then.1,Packing-flt,1.0,s343,5029786577.0,2514890000.0,8003586.0,5029786577.0,2,8,2514890000.0
87,if.then.1,Packing-flt,1.0,s343,5056968152.0,2528480000.0,8003586.0,5056968152.0,2,10,2528480000.0
88,do.body,7zip-benchmark,7996498.0,LitEnc_GetPriceMatched,174999.0,224.973,208.0,156.0,1,7,543.716
